AREA,PERIMETER,FORESTS_,FORESTS_ID,LU,CFACTOR
0.005364,0.408104,2,372,F1,0.001
7.12E-4,0.130134,3,93,F1,0.001
0.010831,0.45361,4,509,F1,0.001
3.4E-4,0.068525,5,101,F1,0.001
0.01264,0.561492,6,360,F1,0.001
0.008526,0.630345,7,390,F1,0.001
7.64E-4,0.13153,8,161,F1,0.001
0.002385,0.198598,9,154,F1,0.001
0.015612,0.761987,10,403,F1,0.001
0.002714,0.370619,11,160,F1,0.001
0.042545,2.706318,12,171,F1,0.001
0.001538,0.234877,13,346,F1,0.001
3.32E-4,0.098186,14,340,F1,0.001
0.003074,0.364751,15,0,,0.0
0.003921,0.313414,16,343,F1,0.001
7.35E-4,0.134493,17,111,F1,0.001
0.018818,1.095822,18,108,F1,0.001
5.24E-4,0.138437,19,326,F1,0.001
0.003319,0.471849,20,334,F1,0.001
0.003655,0.550451,21,337,F1,0.001
0.049202,1.674526,22,33,F1,0.001
0.004625,0.280179,23,415,F1,0.001
0.00133,0.144574,24,167,F1,0.001
0.019595,0.834539,25,355,F1,0.001
0.001309,0.243814,26,327,F1,0.001
6.61E-4,0.093738,27,168,F1,0.001
2.71E-4,0.067433,28,333,F1,0.001
0.003617,0.24464,29,427,F1,0.001
9.58E-4,0.123497,30,98,F1,0.001
0.002228,0.253949,31,232,F1,0.001
2.91E-4,0.067847,32,181,F1,0.001
0.007352,0.694104,33,173,F1,0.001
0.001294,0.155016,34,303,F1,0.001
0.001291,0.143372,35,140,F1,0.001
5.88E-4,0.094718,36,119,F1,0.001
0.003355,0.405884,37,399,F1,0.001
0.007696,0.575859,38,78,F1,0.001
0.001773,0.189464,39,125,F1,0.001
0.006645,0.707543,40,179,F1,0.001
0.003546,0.243223,41,514,F1,0.001
4.95E-4,0.084109,42,65,F1,0.001
0.002554,0.266127,43,308,F1,0.001
7.24E-4,0.126835,44,227,F1,0.001
0.001874,0.215242,45,413,F1,0.001
0.002239,0.246649,46,123,F1,0.001
0.008553,0.524196,47,54,F1,0.001
0.016762,1.429872,48,294,F1,0.001
8.72E-4,0.12313,49,235,F1,0.001
0.001004,0.15457,50,321,F1,0.001
0.003716,0.258283,51,500,F1,0.001
0.003613,0.356719,52,60,F1,0.001
0.006308,0.598538,53,318,F1,0.001
3.88E-4,0.075744,54,314,F1,0.001
6.78E-4,0.110873,55,88,F1,0.001
0.016877,1.031475,56,203,F1,0.001
0.002652,0.340721,57,414,F1,0.001
2.7E-4,0.062344,58,317,F1,0.001
0.027626,1.098308,59,146,F1,0.001
7.24E-4,0.125133,60,56,F1,0.001
0.011618,0.610274,61,68,F1,0.001
0.005513,0.472513,62,473,F1,0.001
6.88E-4,0.099414,63,494,F1,0.001
3.74E-4,0.075013,64,0,,0.0
5.28E-4,0.085951,65,502,F1,0.001
4.48E-4,0.089002,66,302,F1,0.001
0.005099,0.528932,67,394,F1,0.001
0.052333,0.934611,68,333,F1,0.001
